id,price
1,4.8351564
2,5.9563603
3,12.671409
4,6.091477
5,5.681362
6,9.318461
7,9.219497
8,3.311524
9,8.987346
10,6.4025254
11,4.7950287
12,9.633375
13,4.019905
14,7.8409424
15,7.407369
16,10.785004
17,7.1570616
18,5.50797
19,7.6098986
20,5.483242
21,2.7952218
22,5.6439285
23,6.8434677
24,5.4612565
25,9.697963
26,4.973483
27,4.6899576
28,2.8560393
29,8.173086
30,3.3331196
31,5.9144745
32,5.466909
33,5.129926
34,4.4561152
35,12.094773
36,9.0678835
37,19.401974
38,5.153094
39,7.1953506
40,4.8965573
41,4.299939
42,14.042709
43,5.6037197
44,5.363495
45,5.8465414
46,1.777729
47,38.53939
48,6.086537
49,7.1305113
50,3.5567355
51,3.9732099
52,7.954217
53,3.1926744
54,3.6751075
55,3.9838219
56,13.523706
57,6.4281287
58,6.6957655
59,19.7561
60,5.2124147
61,8.50848
62,4.860878
63,6.2003274
64,15.682834
65,6.5445404
66,6.6035295
67,8.669115
68,5.129995
69,2.0624707
70,5.605895
71,5.97126
72,6.3463874
73,2.0969932
74,4.791955
75,3.9409213
76,8.077005
77,6.167684
78,4.162404
79,7.9503517
80,6.1220436
81,5.4167495
82,9.343434
83,9.117968
84,2.191654
85,16.329075
86,21.952803
87,5.9384727
88,3.345838
89,4.145659
90,12.275792
91,9.857229
92,7.411493
93,9.42734
94,4.850698
95,7.2927322
96,7.62798
97,6.496566
98,3.4372852
99,6.5664773
100,6.9624887
101,4.8479185
102,3.1304984
103,9.51815
104,15.551016
105,3.6179771
106,7.356252
107,10.714195
108,4.5893273
109,52.299194
110,5.67267
111,8.4868965
112,7.9907365
113,3.9979863
114,5.2337413
115,6.1851664
116,8.719027
117,9.688248
118,13.173055
119,7.2762513
120,4.304611
121,2.7399058
122,13.060977
123,9.0956955
124,9.172911
125,4.762802
126,8.066473
127,14.799391
128,9.541288
129,3.771026
130,5.550217
131,1.699825
132,8.917788
133,5.4948196
134,7.1600013
135,3.9395726
136,4.6480246
137,7.5288186
138,7.7153335
139,5.141825
140,7.7325945
141,5.6121726
142,6.6425962
143,10.995291
144,4.2522326
145,6.7464256
146,7.255979
147,12.953035
148,4.5351477
149,4.249768
150,4.691899
151,5.066499
152,3.626695
153,14.080511
154,4.14252
155,5.7533646
156,6.4698396
157,29.412247
158,5.577215
159,4.9514685
160,7.434697
161,13.394119
162,45.35827
163,14.263797
164,8.413469
165,7.2541323
166,8.702754
167,7.792839
168,5.911329
169,7.164922
170,6.487792
171,2.9139707
172,6.383884
173,5.928705
174,7.774212
175,16.19722
176,5.8165646
177,3.0309162
178,7.4699125
179,4.523342
